Price,Close,High,Low,Open,Volume
Ticker,GC=F,GC=F,GC=F,GC=F,GC=F
Date,,,,,
2014-01-01,1240.0999755859375,1269.4000244140625,1204.300048828125,1204.300048828125,189701
2014-02-01,1321.4000244140625,1343.9000244140625,1241.199951171875,1242.4000244140625,11943
2014-03-01,1283.4000244140625,1391.4000244140625,1282.4000244140625,1335.9000244140625,255794
2014-04-01,1295.5999755859375,1330.0,1272.4000244140625,1285.0999755859375,8265
2014-05-01,1245.5999755859375,1314.199951171875,1241.800048828125,1288.699951171875,211143
2014-07-01,1281.300048828125,1343.699951171875,1280.5999755859375,1326.699951171875,224607
2014-08-01,1285.800048828125,1321.4000244140625,1272.0,1284.0999755859375,9633
2014-09-01,1210.5,1286.4000244140625,1204.0,1284.5,27705
2014-10-01,1171.0999755859375,1251.0,1161.4000244140625,1207.699951171875,4510
2014-11-01,1175.199951171875,1202.4000244140625,1133.0,1166.4000244140625,299410
2014-12-01,1183.9000244140625,1238.0,1141.699951171875,1160.0,11140
2015-01-01,1278.5,1303.5,1169.5,1184.0,258615
2015-04-01,1182.4000244140625,1224.199951171875,1174.5999755859375,1182.9000244140625,7838
2015-05-01,1189.4000244140625,1228.0999755859375,1170.0,1178.0999755859375,258123
2015-06-01,1171.5,1204.0,1164.0,1190.5999755859375,6252
2015-07-01,1094.9000244140625,1173.0999755859375,1078.5999755859375,1173.0999755859375,216892
2015-08-01,1131.5999755859375,1169.0,1080.5,1095.5,13251
2015-09-01,1115.5,1155.9000244140625,1098.199951171875,1133.5,9119
2015-10-01,1141.5,1189.0,1105.800048828125,1115.199951171875,4321
2015-12-01,1060.300048828125,1098.800048828125,1046.199951171875,1064.5999755859375,10149
2016-01-01,1116.4000244140625,1125.699951171875,1063.199951171875,1063.4000244140625,229558
2016-02-01,1233.9000244140625,1260.800048828125,1115.300048828125,1116.699951171875,13930
2016-03-01,1234.199951171875,1280.699951171875,1210.0,1240.5,244751
2016-04-01,1289.199951171875,1295.5,1209.199951171875,1232.300048828125,9954
2016-06-01,1318.4000244140625,1355.5999755859375,1205.4000244140625,1215.699951171875,13380
2016-07-01,1349.0,1374.9000244140625,1312.800048828125,1324.5,281653
2016-08-01,1306.9000244140625,1366.0,1306.300048828125,1348.800048828125,11854
2016-09-01,1313.300048828125,1350.5,1301.5,1305.300048828125,18630
2016-10-01,1271.5,1316.800048828125,1248.9000244140625,1313.5,5775
2016-11-01,1170.800048828125,1318.5999755859375,1167.9000244140625,1279.300048828125,242622
2016-12-01,1150.0,1186.699951171875,1123.9000244140625,1172.699951171875,9972
2017-02-01,1252.5999755859375,1263.0999755859375,1197.9000244140625,1211.9000244140625,11087
2017-03-01,1247.300048828125,1257.699951171875,1196.199951171875,1247.800048828125,251026
2017-04-01,1266.0999755859375,1294.800048828125,1243.0,1247.5,9065
2017-05-01,1272.0,1273.199951171875,1214.0,1268.699951171875,404733
2017-06-01,1240.699951171875,1295.199951171875,1238.0999755859375,1268.0,8948
2017-07-01,1266.5999755859375,1270.800048828125,1208.5999755859375,1236.0,292633
2017-08-01,1316.199951171875,1323.800048828125,1251.4000244140625,1268.4000244140625,10098
2017-09-01,1281.5,1355.800048828125,1277.0,1320.199951171875,26808
2017-11-01,1273.199951171875,1296.199951171875,1265.300048828125,1272.199951171875,326214
2017-12-01,1306.300048828125,1306.300048828125,1236.5,1274.0999755859375,7596
2018-01-01,1339.0,1362.4000244140625,1302.300048828125,1302.300048828125,338322
2018-02-01,1315.5,1361.4000244140625,1307.0,1343.800048828125,10243
2018-03-01,1322.800048828125,1354.4000244140625,1301.800048828125,1310.4000244140625,356297
2018-05-01,1300.0999755859375,1320.800048828125,1285.199951171875,1313.199951171875,441893
2018-06-01,1251.300048828125,1307.699951171875,1244.800048828125,1298.5999755859375,5166
2018-08-01,1200.300048828125,1223.699951171875,1161.4000244140625,1222.9000244140625,5996
2018-09-01,1191.5,1206.199951171875,1180.0,1193.800048828125,23406
2018-10-01,1212.300048828125,1238.5999755859375,1183.699951171875,1191.5999755859375,4126
2018-11-01,1220.199951171875,1236.0,1196.300048828125,1215.4000244140625,304805
2018-12-01,1278.300048828125,1281.300048828125,1221.300048828125,1222.5,4402
2019-01-01,1319.699951171875,1325.4000244140625,1275.300048828125,1286.0,270998
2019-02-01,1312.800048828125,1344.0,1301.5999755859375,1320.300048828125,7989
2019-03-01,1293.0,1322.9000244140625,1281.0,1312.199951171875,295700
2019-04-01,1282.800048828125,1309.0999755859375,1266.0,1291.800048828125,6961
2019-05-01,1305.800048828125,1306.4000244140625,1266.5999755859375,1278.699951171875,248448
2019-06-01,1409.699951171875,1433.300048828125,1307.0,1307.0,6517
2019-07-01,1426.0999755859375,1444.199951171875,1382.800048828125,1386.5999755859375,302051
2019-08-01,1519.0999755859375,1549.300048828125,1400.9000244140625,1411.300048828125,17142
2019-10-01,1511.4000244140625,1518.199951171875,1458.300048828125,1468.699951171875,5233
2019-11-01,1465.5999755859375,1511.5999755859375,1447.0999755859375,1511.0,443701
2020-01-01,1582.9000244140625,1604.199951171875,1518.0,1518.0999755859375,316262
2020-02-01,1564.0999755859375,1686.5999755859375,1547.699951171875,1592.9000244140625,9617
2020-04-01,1684.199951171875,1775.0,1570.0,1570.0,14324
2020-05-01,1736.9000244140625,1770.5,1670.5,1686.5999755859375,168568
2020-06-01,1793.0,1793.199951171875,1668.5999755859375,1740.4000244140625,16436
2020-07-01,1962.800048828125,1981.0999755859375,1765.800048828125,1793.5999755859375,246967
2020-08-01,1967.5999755859375,2063.0,1871.5999755859375,1984.300048828125,11710
2020-09-01,1887.5,1986.300048828125,1851.5,1961.699951171875,17781
2020-10-01,1877.4000244140625,1929.0999755859375,1858.800048828125,1884.0999755859375,9613
2020-12-01,1893.0999755859375,1908.0,1774.9000244140625,1775.0,12142
2021-01-01,1847.300048828125,1959.9000244140625,1802.0,1912.199951171875,225930
2021-02-01,1728.0999755859375,1871.9000244140625,1718.800048828125,1866.5999755859375,16813
2021-03-01,1713.800048828125,1750.300048828125,1673.699951171875,1737.0999755859375,167914
2021-04-01,1767.300048828125,1794.5,1706.4000244140625,1706.800048828125,11366
2021-05-01,1902.5,1905.4000244140625,1774.800048828125,1788.5,210133
2021-06-01,1770.800048828125,1916.199951171875,1752.0999755859375,1905.0999755859375,8466
2021-07-01,1812.5999755859375,1833.0,1768.800048828125,1775.699951171875,245814
2021-09-01,1755.300048828125,1833.9000244140625,1721.4000244140625,1813.5,28543
2021-10-01,1783.0,1809.0,1744.699951171875,1754.300048828125,8208
2021-11-01,1773.5999755859375,1869.699951171875,1761.800048828125,1787.5,221936
2021-12-01,1827.5,1827.800048828125,1753.9000244140625,1774.800048828125,10803
2022-01-01,1795.0,1852.699951171875,1778.800048828125,1830.0999755859375,232014
2022-02-01,1899.4000244140625,1972.5,1787.9000244140625,1797.199951171875,9510
2022-03-01,1949.199951171875,2072.0,1893.5,1908.300048828125,157864
2022-04-01,1909.300048828125,1997.0999755859375,1872.9000244140625,1935.0,7725
2022-06-01,1804.0999755859375,1875.5999755859375,1801.0,1831.0,7851
2022-07-01,1762.9000244140625,1806.0999755859375,1679.800048828125,1795.5,194989
2022-08-01,1712.800048828125,1804.9000244140625,1708.5,1763.9000244140625,11161
2022-09-01,1662.4000244140625,1728.0999755859375,1620.4000244140625,1707.9000244140625,41586
2022-10-01,1635.9000244140625,1728.0,1622.800048828125,1667.199951171875,8817
2022-11-01,1746.0,1778.9000244140625,1615.0999755859375,1630.800048828125,161813
2022-12-01,1819.699951171875,1826.300048828125,1764.300048828125,1768.699951171875,9347
2023-02-01,1828.9000244140625,1959.0999755859375,1808.0999755859375,1927.199951171875,10398
2023-03-01,1969.0,2003.9000244140625,1811.5,1827.0999755859375,104261
2023-04-01,1990.0999755859375,2048.60009765625,1950.0,1968.0999755859375,7282
2023-05-01,1963.9000244140625,2072.0,1931.0,1980.0999755859375,215367
2023-06-01,1921.0999755859375,1983.0,1892.5,1963.199951171875,6383
2023-07-01,1970.5,1978.4000244140625,1903.199951171875,1917.9000244140625,220474
2023-08-01,1938.199951171875,1965.4000244140625,1884.0,1964.9000244140625,9086
2023-09-01,1848.0999755859375,1950.0,1846.0,1950.0,19996
2023-11-01,2038.0999755859375,2052.10009765625,1932.5999755859375,1990.5,199965
2023-12-01,2062.39990234375,2130.199951171875,1975.0,2038.300048828125,8723
2024-01-01,2048.39990234375,2073.699951171875,2002.5999755859375,2063.5,184500
2024-02-01,2045.699951171875,2064.5,1984.800048828125,2040.199951171875,10472
2024-03-01,2217.39990234375,2234.10009765625,2041.800048828125,2043.0999755859375,241903
2024-04-01,2291.39990234375,2429.0,2230.0,2235.699951171875,8117
2024-05-01,2322.89990234375,2435.800048828125,2277.60009765625,2287.699951171875,154217
2024-06-01,2327.699951171875,2385.10009765625,2285.39990234375,2322.60009765625,7958
2024-07-01,2426.5,2473.10009765625,2321.699951171875,2323.800048828125,155434
2024-08-01,2493.800048828125,2527.300048828125,2367.39990234375,2446.699951171875,12103
2024-10-01,2738.300048828125,2789.0,2602.5,2631.39990234375,4495
2024-11-01,2657.0,2756.0,2554.199951171875,2745.5,307970
2025-01-01,2812.5,2838.0,2617.300048828125,2633.0,192980
2025-02-01,2836.800048828125,2957.89990234375,2780.89990234375,2818.199951171875,46632
2025-03-01,3122.800048828125,3132.5,2863.39990234375,2872.699951171875,168341
2025-04-01,3305.0,3485.60009765625,2949.699951171875,3129.699951171875,38612
2025-05-01,3288.89990234375,3430.89990234375,3125.0,3272.89990234375,172644
2025-07-01,3293.199951171875,3441.0,3263.89990234375,3310.10009765625,142774
2025-08-01,3473.699951171875,3477.0,3281.0,3286.199951171875,36288
2025-09-01,3840.800048828125,3865.5,3485.699951171875,3485.699951171875,38627
2025-10-01,3982.199951171875,4358.0,3823.699951171875,3863.5,42621
2025-11-01,4218.2998046875,4228.7001953125,3927.39990234375,3976.199951171875,194787
2025-12-01,4325.60009765625,4556.2998046875,4167.0,4218.5,21215
